,Unnamed: 0,position,country,name,club,boots,age,height,name_ko,id,team_name,eng_name,color,img,boots_ko,boots_img,img_src,country_ko,position_ko
0,0,Midfielder,England,Adam Wharton,Crystal Palace,adidas Predator Elite FT,21,182,아담 와튼,0,크리스털 팰리스,Crystal Palace,#0055A5,https://images.fotmob.com/image_resources/playerimages/1296650.png,아디다스 프레데터 Elite FT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8d24b59c1.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png,🇬🇧 영국,미드필더
1,1,Defender,Spain,Adama Boiro,Athletic Club,adidas F50 Elite,22,183,아다마 보이로,0,아틀레틱 빌바오,Athletic Club,#E2001A,https://images.fotmob.com/image_resources/playerimages/1331249.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8315.png,🇪🇸 스페인,수비수
2,2,Midfielder,Germany,Adrian Beck,1. FC Heidenheim 1846,adidas Nemeziz.1,27,186,아드리안 베크,0,하이덴하임,1. FC Heidenheim 1846,#E20613,https://images.fotmob.com/image_resources/playerimages/794393.png,아디다스 네메시스.1,https://www.footballbootsdb.com/logos/boots/2023/01/63b3ec35c7d60.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/94937.png,🇩🇪 독일,미드필더
3,3,Goalkeeper,Spain,Aitor Fernández,CA Osasuna,Puma Ultra 5 Ultimate,33,182,아이토르 페르난데스,0,오사수나,CA Osasuna,#AF1428,https://images.fotmob.com/image_resources/playerimages/213471.png,퓨마 울트라 5 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703b0540dc41.png,https://images.fotmob.com/image_resources/logo/teamlogo/8371.png,🇪🇸 스페인,골키퍼
4,4,Defender,Italy,Alessandro Vogliacco,Parma Calcio 1913,adidas Copa Pure 2 Elite,26,186,알레산드로 보글리아코,0,파르마,Parma Calcio 1913,#000000,https://images.fotmob.com/image_resources/playerimages/958401.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10167.png,🇮🇹 이탈리아,수비수
5,5,Defender,Italy,Alessandro Zanoli,Genoa CFC,adidas X Crazyfast Elite LL,24,188,알레산드로 자놀리,0,제노아,Genoa CFC,CB1111,https://images.fotmob.com/image_resources/playerimages/916710.png,아디다스 X 크레이지페스트 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/04/660adfc293558.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10233.png,🇮🇹 이탈리아,수비수
6,6,Goalkeeper,Italy,Alessio Furlanetto,SS Lazio,Puma Future Ultimate,23,191,알레시오 푸를라네토,0,라치오,SS Lazio,75ACD4,https://images.fotmob.com/image_resources/playerimages/1050325.png,퓨마 퓨처 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/11/6564e20619ff0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8543.png,🇮🇹 이탈리아,골키퍼
7,7,Forward,Italy,Alessio Zerbin,Venezia FC,adidas F50 Elite,25,182,알레시오 제르빈,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/850295.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇮🇹 이탈리아,공격수
8,8,Forward,Spain,Alfon González,RC Celtic of Vigo,Nike Mercurial Vapor 16 Elite,25,172,알폰 곤잘레스,0,셀타 데 비고,RC Celtic of Vigo,#67ADE0,https://images.fotmob.com/image_resources/playerimages/926643.png,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/9910.png,🇪🇸 스페인,공격수
9,9,Goalkeeper,Spain,Álvaro Fernández,Sevilla FC,adidas Predator Elite,26,185,알바로 페르난데스,0,세비야,Sevilla FC,#C90F20,https://images.fotmob.com/image_resources/playerimages/796781.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8302.png,🇪🇸 스페인,골키퍼
10,10,Forward,Uruguay,Álvaro Rodríguez,Getafe CF,adidas X Crazyfast Elite LL,20,193,알바로 로드리게스,0,헤타페,Getafe CF,#084888,https://images.fotmob.com/image_resources/playerimages/1327406.png,아디다스 X 크레이지페스트 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/04/660adfc293558.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8305.png,🇺🇾 우루과이,공격수
11,11,Forward,Serbia,Andrej Ilic,1. FC Union Berlin,Nike Mercurial Superfly 8 Elite,24,189,안드레이 일리치,0,우니온 베를린,1. FC Union Berlin,#E30613,https://images.fotmob.com/image_resources/playerimages/1047670.png,나이키 머큐리얼 슈퍼플라이 8 Elite,https://www.footballbootsdb.com/logos/boots/2022/04/624af67baf1fe.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8149.png,🇷🇸 세르비아,공격수
12,12,Midfielder,Iceland,Andri Fannar Baldursson,Bologna FC 1909,Nike Mercurial Vapor XIII Elite,23,187,안드리 판나르 발두르손,0,볼로냐,Bologna FC 1909,#102880,https://images.fotmob.com/image_resources/playerimages/937034.png,나이키 머큐리얼 베이퍼 XIII Elite,https://www.footballbootsdb.com/logos/boots/2020/08/5f3183e7aedb3.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9857.png,🇮🇸 아이슬란드,미드필더
13,13,Forward,Algeria,Andy Delort,Montpellier HSC,Puma Ultra Ultimate,33,181,앤디 델로르,0,몽펠리에,Montpellier HSC,#40547D,https://images.fotmob.com/image_resources/playerimages/183530.png,퓨마 울트라 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/04/64317eee4690c.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10249.png,🇩🇿 알제리,공격수
14,14,Forward,Guinea-bissau,Beto,Everton,Puma Future 7 Ultimate,27,194,베투,0,에버턴,Everton,#0035B8,https://images.fotmob.com/image_resources/playerimages/1079485.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png,🇬🇳 기니-bissau,공격수
15,15,Midfielder,Mali,Boubacar Traoré,Wolves,Nike Mercurial Vapor 16 Elite,23,183,부바카르 트라오레,0,울버햄튼 원더러스,Wolves,#EB9504,https://images.fotmob.com/image_resources/playerimages/1054122.png,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,🇲🇱 말리,미드필더
16,16,Forward,Denmark,Christian Gytkjaer,Venezia FC,Nike Mercurial Vapor 14 Elite,34,185,크리스티안 기트키에르,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/121086.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇩🇰 덴마크,공격수
17,17,Midfielder,Portugal,David Pereira da Costa,RC Lens,adidas Predator Elite LL,24,168,다비드 페레이라 다 코스타,0,랑스,RC Lens,#D89F00,https://images.fotmob.com/image_resources/playerimages/1138769.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8588.png,🇵🇹 포르투갈,미드필더
18,18,Midfielder,Slovenia,Domen Crnigoj,Venezia FC,Nike Mercurial Vapor 14 Elite,29,188,도멘 츠르니고이,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/340790.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇸🇮 슬로베니아,미드필더
19,19,Forward,Paraguay,Enso González,Wolves,Nike Tiempo Legend 10 Elite,20,169,엔소 곤살레스,0,울버햄튼 원더러스,Wolves,#EB9504,https://images.fotmob.com/image_resources/playerimages/1458595.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,🇵🇾 파라과이,공격수
20,20,Defender,Serbia,Erhan Masovic,VfL Bochum,Nike Tiempo Legend 10 Elite,26,189,에르한 마소비치,0,보훔,VfL Bochum,#0868B0,https://images.fotmob.com/image_resources/playerimages/763313.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/9911.png,🇷🇸 세르비아,수비수
21,21,Goalkeeper,Serbia,Filip Stankovic,Venezia FC,adidas Predator Elite,23,187,필리프 스타노코비치,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/1130600.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇷🇸 세르비아,골키퍼
22,22,Midfielder,Germany,Finn Becker,1899 Hoffenheim,Nike Mercurial Vapor 15 Elite,24,177,핀 베커,0,호펜하임,1899 Hoffenheim,#005098,https://images.fotmob.com/image_resources/playerimages/1039779.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8226.png,🇩🇪 독일,미드필더
23,23,Forward,Spain,Fran Pérez,Valencia CF,adidas X Crazyfast+,22,176,프란 페레스,0,발렌시아,Valencia CF,#FF671F,https://images.fotmob.com/image_resources/playerimages/1284430.png,아디다스 X 크레이지페스트+,https://www.footballbootsdb.com/logos/boots/2024/04/660ade0108655.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10267.png,🇪🇸 스페인,공격수
24,24,Midfielder,Netherlands,Gabriel Misehouy,Girona FC,adidas F50 Elite LL,19,173,가브리엘 미세호이,0,지로나,Girona FC,#CF152D,https://images.fotmob.com/image_resources/playerimages/1334575.png,아디다스 F50 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8777be6c5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7732.png,🇳🇱 네덜란드,미드필더
25,25,Forward,Brazil,Gustavo Nunes,Brentford FC,Nike Mercurial Vapor 16 Elite,19,173,구스타부 누네스,0,브렌트퍼드,Brentford FC,#C00808,//i.namu.wiki/i/aG_FRJq1rRZ9iCSR9PS7FM7t2x2Bjp9Yv2BELTgHohVaMd_hHepOGM0uthH5hInPA5T9gEXww0Pcu75xBqvq4PnZ8i0dKyYDE0GS8dFN0JV0zteQOzEWelelzCtsUY_pELVcbiahV0tXK1paeivwzQ.webp,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png,🇧🇷 브라질,공격수
26,26,Defender,Bosnia,Halid Sabanovic,Angers SCO,Nike Phantom GX Elite,25,182,할리드 사바노비치,0,앙제,Angers SCO,#000000,https://images.fotmob.com/image_resources/playerimages/949089.png,나이키 팬텀 GX Elite,https://www.footballbootsdb.com/logos/boots/2023/10/652e666a3026d.png,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png,🇧🇦 보스니아,수비수
27,27,Midfielder,Eritrea,Ismaël Koné,Stade Rennais FC,Nike Phantom GX 2 Elite,22,188,이스마엘 코네,0,렌,Stade Rennais FC,#E13327,https://images.fotmob.com/image_resources/playerimages/1288119.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/9851.png,🇪🇷 에리트리아,미드필더
28,28,Forward,United States,Jordan,Stade de Reims,adidas X Crazyfast Elite LL,28,191,조던,0,랭스,Stade de Reims,#FF4C4C,https://images.fotmob.com/image_resources/playerimages/613714.png,아디다스 X 크레이지페스트 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/04/660adfc293558.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9837.png,🇺🇸 미국,공격수
29,29,Goalkeeper,Portugal,José Sá,Wolves,adidas Predator Elite LL,32,192,조제 사,0,울버햄튼 원더러스,Wolves,#EB9504,https://images.fotmob.com/image_resources/playerimages/416175.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,🇵🇹 포르투갈,골키퍼
30,30,Defender,England,Kaelan Casey,West Ham United,adidas Predator Elite,20,185,케일런 케이시,0,웨스트햄 유나이티드,West Ham United,#7B2B3A,https://images.fotmob.com/image_resources/playerimages/1302814.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8654.png,🇬🇧 영국,수비수
31,31,Defender,Cape Verde,Logan Costa,Villarreal CF,Puma Ultra 5 Ultimate,23,190,로건 코스타,0,비야레알,Villarreal CF,#E19D00,https://images.fotmob.com/image_resources/playerimages/922877.png,퓨마 울트라 5 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703b0540dc41.png,https://images.fotmob.com/image_resources/logo/teamlogo/10205.png,🇨🇻 카보베르데,수비수
32,32,Goalkeeper,Italy,Lorenzo Torriani,AC Milan,adidas F50 Elite,20,197,로렌초 토리아니,0,AC 밀란,AC Milan,#CF2C27,https://images.fotmob.com/image_resources/playerimages/1642393.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8564.png,🇮🇹 이탈리아,골키퍼
33,33,Defender,Cameroon,Mahamadou Nagida,Stade Rennais FC,Puma Ultra Ultimate,19,176,마하마두 나지다,0,렌,Stade Rennais FC,#E13327,https://images.fotmob.com/image_resources/playerimages/1553514.png,퓨마 울트라 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/04/64317eee4690c.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9851.png,🇨🇲 카메룬,수비수
34,34,Forward,Spain,Miguel de la Fuente,CD Leganés,adidas X Crazyfast+,25,182,미겔 데 라 푸엔테,0,레가네스,CD Leganés,#0057B7,https://images.fotmob.com/image_resources/playerimages/902901.png,아디다스 X 크레이지페스트+,https://www.footballbootsdb.com/logos/boots/2024/04/660ade0108655.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7854.png,🇪🇸 스페인,공격수
35,35,Defender,Egypt,Mohamed Abdelmonem,OGC Nice,Nike Mercurial Vapor 14 Elite,26,183,모하메드 압델모넴,0,니스,OGC Nice,#181818,https://images.fotmob.com/image_resources/playerimages/1179331.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9831.png,🇪🇬 이집트,수비수
36,36,Forward,France,Mohamed-Ali Cho,OGC Nice,adidas F50 Elite LL,21,182,모하메드-알리 초,0,니스,OGC Nice,#181818,https://images.fotmob.com/image_resources/playerimages/1180718.png,아디다스 F50 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8777be6c5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9831.png,🇫🇷 프랑스,공격수
37,37,Goalkeeper,Ireland,Noah Jauny,Stade Brestois 29,adidas Predator Elite,20,194,노아 자우니,0,브레스트,Stade Brestois 29,#ED1C24,https://images.fotmob.com/image_resources/playerimages/1667660.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8521.png,🇮🇪 아일랜드,골키퍼
38,38,Midfielder,Spain,Óscar Rodríguez,CD Leganés,adidas X Crazyfast Elite,26,174,오스카르 로드리게스,0,레가네스,CD Leganés,#0057B7,https://images.fotmob.com/image_resources/playerimages/863168.png,아디다스 X 크레이지페스트 Elite,https://www.footballbootsdb.com/logos/boots/2024/04/660adc06058c6.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7854.png,🇪🇸 스페인,미드필더
39,39,Defender,Spain,Pelayo Fernández,Rayo Vallecano,adidas Copa Pure 2 Elite,21,193,펠라요 페르난데스,0,바예카노,Rayo Vallecano,#EB3A32,https://images.fotmob.com/image_resources/playerimages/1411818.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8370.png,🇪🇸 스페인,수비수
40,40,Defender,Switzerland,Ricardo Rodríguez,Real Betis Balompié,Nike Tiempo Legend 10 Elite,32,182,리카르도 로드리게스,0,레알 베티스,Real Betis Balompié,#009048,https://images.fotmob.com/image_resources/playerimages/115591.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8603.png,🇨🇭 스위스,수비수
41,41,Forward,Spain,Roberto Fernández,RCD Espanyol,Nike Mercurial Vapor 16 Elite,22,186,로베르토 페르난데스,0,에스파뇰,RCD Espanyol,#1954B2,https://images.fotmob.com/image_resources/playerimages/1252373.png,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/8558.png,🇪🇸 스페인,공격수
42,42,Forward,Gabon,Shavy Babicka,Toulouse FC,Nike Mercurial Vapor 15 Elite,24,179,샤비 바비카,0,툴루즈,Toulouse FC,#5B417B,https://images.fotmob.com/image_resources/playerimages/1586939.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/9941.png,🇬🇦 가봉,공격수
43,43,Goalkeeper,Germany,Stefan Drljaca,VfB Stuttgart,Mizuno Morelia Neo IV Beta Japan,25,192,슈테판 드를랴차,0,슈투트가르트,VfB Stuttgart,#D30029,https://images.fotmob.com/image_resources/playerimages/1175706.png,미즈노 모렐리아 네오 IV 베타 Japan,https://www.footballbootsdb.com/logos/boots/2024/07/669925dd66af2.png,https://images.fotmob.com/image_resources/logo/teamlogo/10269.png,🇩🇪 독일,골키퍼
44,44,Forward,Spain,Toni Martínez,Deportivo Alavés,New Balance Furon Pro v7+,27,187,토니 마르티네즈,0,알라베스,Deportivo Alavés,#0351A3,https://images.fotmob.com/image_resources/playerimages/640123.png,뉴발란스 퓨론 Pro v7+,https://www.footballbootsdb.com/logos/boots/2024/09/66eec4a448165.png,https://images.fotmob.com/image_resources/logo/teamlogo/9866.png,🇪🇸 스페인,공격수
45,45,Defender,Spain,Unai García,CA Osasuna,Nike Tiempo Legend 10 Elite,33,186,우나이 가르시아,0,오사수나,CA Osasuna,#AF1428,https://images.fotmob.com/image_resources/playerimages/451941.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8371.png,🇪🇸 스페인,수비수
46,46,Goalkeeper,Côte d'Ivoire,Yahia Fofana,Angers SCO,adidas Predator Elite LL,24,194,야히아 포파나,0,앙제,Angers SCO,#000000,https://images.fotmob.com/image_resources/playerimages/873566.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png,🇨🇮 코트디부아르,골키퍼
47,47,Defender,Spain,Yarek Gasiorowski,Valencia CF,adidas Predator Elite FT,20,192,야렉 가시오로프스키,0,발렌시아,Valencia CF,#FF671F,https://images.fotmob.com/image_resources/playerimages/1506480.png,아디다스 프레데터 Elite FT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8d24b59c1.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10267.png,🇪🇸 스페인,수비수
48,48,Forward,Colombia,Yáser Asprilla,Girona FC,Nike Mercurial Superfly 9 Elite,21,176,야세르 아스프리야,0,지로나,Girona FC,#CF152D,https://images.fotmob.com/image_resources/playerimages/1277380.png,나이키 머큐리얼 슈퍼플라이 9 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d009d3fbdc.png,https://images.fotmob.com/image_resources/logo/teamlogo/7732.png,🇨🇴 콜롬비아,공격수
49,49,Midfielder,Mali,Yaya Fofana,Stade de Reims,Nike Phantom GT2 Elite,20,180,야야 포파나,0,랭스,Stade de Reims,#FF4C4C,https://images.fotmob.com/image_resources/playerimages/1401227.png,나이키 팬텀 GT2 Elite,https://www.footballbootsdb.com/logos/boots/2023/06/6490670718866.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9837.png,🇲🇱 말리,미드필더
50,50,Forward,Cyprus,Zanos Savva,Torino FC,adidas X Crazyfast Elite,19,191,자노스 사바,0,토리노,Torino FC,#80110B,https://images.fotmob.com/image_resources/playerimages/1357400.png,아디다스 X 크레이지페스트 Elite,https://www.footballbootsdb.com/logos/boots/2024/04/660adc06058c6.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9804.png,🇨🇾 시프로스,공격수
51,51,Midfielder,South Korea,Kim Young Gyu,,Puma Ultra 1.1,29,168,김영규,0,,,#FFFFFF,https://images.fotmob.com/image_resources/playerimages/479222.png,퓨마 울트라 1.1,https://www.footballbootsdb.com/logos/boots/2020/09/5f68d1cca78fd.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7804.png,🇰🇷 대한민국,미드필더
52,52,Defender,England,Aaron Cresswell,West Ham United,adidas F50 Elite LL,35,170,아론 크레스웰,802189615,웨스트햄 유나이티드,West Ham United,#7B2B3A,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p802189615.png,아디다스 F50 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8777be6c5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8654.png,🇬🇧 영국,수비수
53,53,Defender,Scotland,Aaron Hickey,Brentford FC,adidas X Speedportal.1,22,185,아론 히키,815248808,브렌트퍼드,Brentford FC,#C00808,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p248808.png,아디다스 X 스피드포탈.1,https://www.footballbootsdb.com/logos/boots/2023/06/6492e55f2af9c.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png,🇬🇧 스코틀랜드,수비수
54,54,Defender,Spain,Aarón Martín,Genoa CFC,Puma Future 7 Ultimate,27,178,아론 마르틴,265236295,제노아,Genoa CFC,CB1111,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p265236295.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/10233.png,🇪🇸 스페인,수비수
55,55,Goalkeeper,England,Aaron Ramsdale,Southampton,adidas Predator Elite FT,26,190,아론 램즈데일,287233934,사우샘프턴,Southampton,#D71920,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p287233934.png,아디다스 프레데터 Elite FT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8d24b59c1.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8466.png,🇬🇧 영국,골키퍼
56,56,Defender,England,Aaron Wan-Bissaka,West Ham United,adidas F50 Elite LL,27,183,아론 완-비사카,260229880,웨스트햄 유나이티드,West Ham United,#7B2B3A,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p260229880.png,아디다스 F50 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8777be6c5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8654.png,🇬🇧 영국,수비수
57,57,Defender,Côte d'Ivoire,Abakar Sylla,RC Strasbourg Alsace,adidas X Crazyfast Elite,22,188,아바카르 실라,280269003,스트라스부르,RC Strasbourg Alsace,#294A92,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p280269003.png,아디다스 X 크레이지페스트 Elite,https://www.footballbootsdb.com/logos/boots/2024/04/660adc06058c6.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9848.png,🇨🇮 코트디부아르,수비수
58,58,Forward,Senegal,Abdallah Sima,Stade Brestois 29,adidas F50 Elite LL,23,188,압달라 시마,834259816,브레스트,Stade Brestois 29,#ED1C24,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p834259816.png,아디다스 F50 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8777be6c5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8521.png,🇸🇳 세네갈,공격수
59,59,Forward,Morocco,Abde Ezzalzouli,Real Betis Balompié,adidas X Crazyfast+,23,177,압데 에잘줄리,804264432,레알 베티스,Real Betis Balompié,#009048,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p804264432.png,아디다스 X 크레이지페스트+,https://www.footballbootsdb.com/logos/boots/2024/04/660ade0108655.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8603.png,🇲🇦 모로코,공격수
60,60,Defender,Morocco,Abdel Abqar,Deportivo Alavés,Nike Tiempo Legend 10 Elite,25,188,압델 압카르,300245628,알라베스,Deportivo Alavés,#0351A3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p245628.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/9866.png,🇲🇦 모로코,수비수
61,61,Forward,Spain,Abdón Prats,RCD Mallorca,adidas X Crazyfast Elite,32,181,압돈 프라츠,284202716,마요르카,RCD Mallorca,#C2071F,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p284202716.png,아디다스 X 크레이지페스트 Elite,https://www.footballbootsdb.com/logos/boots/2024/04/660adc06058c6.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8661.png,🇪🇸 스페인,공격수
62,62,Midfielder,Morocco,Abdou Harroui,Hellas Verona,adidas X Crazyfast+,27,182,압두 하루이,250241937,베로나,Hellas Verona,#002F6C,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p250241937.png,아디다스 X 크레이지페스트+,https://www.footballbootsdb.com/logos/boots/2024/04/660ade0108655.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9876.png,🇲🇦 모로코,미드필더
63,63,Defender,Côte d'Ivoire,Abdoulaye Bamba,Angers SCO,adidas X Crazyfast Elite,34,182,압둘라예 밤바,300199313,앙제,Angers SCO,#000000,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p199313.png,아디다스 X 크레이지페스트 Elite,https://www.footballbootsdb.com/logos/boots/2024/04/660adc06058c6.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png,🇨🇮 코트디부아르,수비수
64,64,Midfielder,Mali,Abdoulaye Doucouré,Everton,adidas Predator Elite,32,183,압둘라예 두쿠레,826208135,에버턴,Everton,#0035B8,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p826208135.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png,🇲🇱 말리,미드필더
